tra_0,tra_1,tra_2,tra_3,tra_4,tra_5,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,spec_0,spec_1,spec_2,spec_3,spec_4,spec_5,spec_6,spec_7,spec_8,spec_9,spec_10,spec_11,spec_12,spec_13,spec_14,spec_15,spec_16,spec_17,spec_18,spec_19,spec_20,spec_21,spec_22,spec_23,spec_24,spec_25,spec_26,spec_27,spec_28,spec_29,spec_30,spec_31,spec_32,spec_33,spec_34,spec_35,spec_36,spec_37,spec_38,spec_39,spec_40,spec_41,spec_42,spec_43,spec_44,spec_45,spec_46,spec_47,spec_48,spec_49,spec_50,spec_51,spec_52,spec_53,spec_54,spec_55,spec_56,spec_57,spec_58,spec_59,spec_60,spec_61,spec_62,spec_63,class
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.0074537992,0.0,0.4869297,1.4204931,1.6942985,0.0,1.9828103,0.08441502,4.2702327,0.0,7.6719265,0.0,10.02598,3.751569,0.0,0.0,8.872098,9.070397,5.9398184,1.5855818,15.600824,1.5254171,0.38926527,5.7515154,4.1015363,3.98311,0.0,3.4442282,8.779912,1.160133,0.0,8.647611,0.0,7.156986,8.568,15.89405,6.740253,3.5411243,1.8244946,0.0,5.3628373,7.0240917,7.592175,2.2892487,8.804961,0.84736484,0.68379974,7.9765744,4.4652853,11.936358,2.5222485,5.1392736,0.0,3.253496,4.60532,4.33387,6.8487015,0.0,0.0,2.4714673,7.088027,4.628087,5.9188395,2.8264287,1.3912628,4.266085,0.0,3.010078,0.0,4.8164854,12.497677,0.0,5
2.659821,0.10705328,0.1171006,0.0,0.0,3.1758556,1.285649,0.0,1.9727578,0.07620448,0.0,0.0,2.6893644,0.02435553,5.0770893,0.0,2.9306693,0.0,0.0,0.0,7.143155,5.8850203,6.277115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6625042,0.0,12.800759,0.0,0.3909092,0.0,0.0,2.5475266,0.0,6.286613,0.0,0.0,0.0,0.0,0.0,4.222644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8733273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4011803,0.94626164,0.0,4.4989347,0.0,7.886555,0.0,0.0,5.6984887,1
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.0074537992,0.0,0.4869297,1.4204931,1.6942985,0.0,1.9828103,0.08441502,5.2399797,0.0,4.99499,0.0,0.0,0.0,1.8030139,3.380769,8.099096,0.0,0.0,0.30543035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9839276,0.0,0.0,0.0,5.95712,1.2452042,2.9525836,4.135401,0.0,3.504961,0.0,3.7112253,0.0012357598,0.013113188,0.6103767,0.0,0.0,3.4013593,0.0,0.0,0.0,3.797248,0.0,0.16013044,0.0,0.0,3.7295003,0.0,1.5211198,0.0,0.0,0.0,0.0,0.0,0.0,3.6761348,1.7335702,0.0,1.6085448,0.4265108,5.235515,0.0,0.0,2.4041786,5
0.6424434,0.9186666,2.1435208,0.0,0.0,0.7546742,1.285649,0.0,1.9727578,0.07620448,0.0,0.0,2.6893644,0.02435553,5.082593,0.0,2.936746,0.0,0.0,0.0,7.1277766,5.8833685,6.2863517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.644765,0.0,12.787224,0.0,0.3993216,0.0,0.0,2.5507982,0.0,6.2816744,0.0,0.0,0.0,0.0,0.0,4.22427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8791146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.408916,0.95026094,0.0,4.494435,0.0,7.8895583,0.0,0.0,5.693613,1
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.0074537992,0.0,0.4869297,1.4204931,1.6942985,0.0,1.9828103,0.08441502,5.378425,0.0,5.8288946,0.0,1.0923542,0.0,0.0,2.163137,8.775125,0.0,0.0,0.7701007,1.7931077,0.0,0.05645162,0.0,0.0,0.0,0.0,0.0,3.163357,0.0,0.0,1.7726543,3.1184356,2.0199237,3.6092112,6.6089416,0.59466237,3.610987,0.19592737,2.784539,1.0946058,1.1170785,2.1728284,0.0,0.64816463,3.0413992,0.0,0.0,0.0,5.3673377,0.0,0.9806991,0.0,0.0,3.6270394,0.0,2.2481196,0.0,0.0,0.0,0.0,0.0,0.0,3.138074,1.6405569,0.0,0.35955054,0.44330335,3.829442,0.0,0.0,1.1166488,3
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,1.7694579,0.0,1.1307299,0.0,1.3582174,1.3044357,0.016870141,0.014017224,1.884443,0.0,5.996369,6.8488455,11.227019,6.6248703,0.0,0.0,3.980219,9.621701,9.867686,1.9832802,16.129982,7.3176765,0.25556657,7.6245646,5.296973,6.804009,0.0,4.4837184,7.717184,4.1185746,0.0,7.777217,0.0,7.211648,7.575848,10.666536,7.886311,2.300228,2.5857255,0.0,4.738922,7.6316743,10.518496,6.1343145,8.108761,0.0,2.135501,13.655931,7.1456785,8.520702,3.8579519,5.1653714,0.0,4.713719,3.8954406,8.711255,4.867991,4.223045,0.0,5.774619,10.053774,9.759137,8.659382,2.6461475,0.0,8.1010475,0.0,3.285312,0.0,8.925202,13.582297,0.0,4
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.8382898,0.0,0.7421731,1.4321287,0.65427125,0.053985827,0.20328993,1.2976725,4.3158317,0.0,8.42561,0.0,8.772904,2.8230093,0.0,0.0,9.425926,7.392057,4.7162313,1.5428822,13.845199,0.0,0.15148708,3.954951,2.8233187,3.1082394,0.0,2.5210288,8.206006,1.0599306,0.0,8.570053,0.0,5.4829483,7.1093006,14.79758,4.8775616,3.7997708,1.4765222,0.0,5.1236277,6.2918067,8.181081,0.7775759,7.4841194,0.809552,0.0,6.2607074,4.109971,11.294284,1.5840111,4.014212,0.0,2.4355187,3.5615144,2.6455846,5.6786513,0.0,0.0,1.0301572,5.6645947,3.4532802,4.5799284,1.7384517,1.632639,3.3993587,0.0,1.1281512,0.0,3.468389,10.354547,0.0,5
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.0074537992,0.0,0.4869297,1.4204931,1.6942985,0.0,1.9828103,0.08441502,4.9263134,0.0,5.916263,0.0,3.0047698,0.0,0.0,0.8039183,9.231747,1.8182609,0.0,0.6767345,5.7134542,0.0,0.0,0.0,0.10357362,0.0,0.0,0.12215333,4.626856,0.0,0.0,3.5727062,0.0,2.9910336,4.5530233,9.648056,1.1651965,3.5867832,0.30654198,1.1981592,2.6034238,2.125865,2.8417492,0.0,3.4897227,2.612743,0.0,0.0,0.0,7.141638,0.0,1.7077019,0.0,0.0,3.6058543,0.0,3.665021,0.0,0.0,0.0,0.0,0.0,0.0,2.1670303,1.8895932,0.0,0.0,0.87945384,2.2507906,0.0,1.7790421,0.0,5
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.8350689,0.0,0.5705001,0.55938864,0.7795298,0.031831928,0.78738844,0.86562043,0.0,0.0,3.2195265,8.452404,11.214582,9.355319,0.0,0.0,1.4881253,11.653752,11.176205,1.0051012,17.409042,11.067553,0.081107065,9.494322,5.657271,5.7628837,1.5635147,3.6428134,7.2294307,2.2206933,0.0,7.279809,0.0,8.461645,7.7311153,12.9261875,8.491849,1.754444,2.2681963,0.0,4.6446886,7.494536,7.6776977,8.452519,10.690735,0.0,4.471087,16.23601,5.906293,8.678183,6.1509376,5.750318,0.0,5.660144,3.403206,11.962026,5.7057633,7.0319824,0.0,8.781288,10.451982,9.367304,9.710803,1.77229,0.4924354,10.262315,0.0,5.1931953,0.0,9.896234,17.382275,0.0,6
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,1.7694579,0.0,1.1307299,0.0,1.3582174,1.3044357,0.016870141,0.014017224,5.0752835,0.0,2.93118,0.0,0.0,0.0,7.15177,5.8808126,6.2700315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6728661,0.0,12.812999,0.0,0.38185906,0.0,0.0,2.5472853,0.0,6.2900743,0.0,0.0,0.0,0.0,0.0,4.2201977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.868818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.398643,0.9396249,0.0,4.503426,0.0,7.8845935,0.0,0.0,5.706055,2
